,Site,Species,Colony,Season,TimeToMortality,Species.Site.Season,MortTemp,MortDegDays
1,Fagaitua,Pocillopora damicornis,-10,3,96,Pocillopora damicornis.Fagaitua.03,36,28
2,Fagaitua,Pocillopora damicornis,-9,3,96,Pocillopora damicornis.Fagaitua.03,36,28
3,Fagaitua,Pocillopora damicornis,-8,3,96,Pocillopora damicornis.Fagaitua.03,36,28
4,Fagaitua,Pocillopora damicornis,-7,3,96,Pocillopora damicornis.Fagaitua.03,36,28
5,Fagaitua,Pocillopora damicornis,-6,3,96,Pocillopora damicornis.Fagaitua.03,36,28
6,Fagaitua,Pocillopora damicornis,-5,3,96,Pocillopora damicornis.Fagaitua.03,36,28
7,Fagaitua,Pocillopora damicornis,-4,3,96,Pocillopora damicornis.Fagaitua.03,36,28
8,Fagaitua,Pocillopora damicornis,-3,3,96,Pocillopora damicornis.Fagaitua.03,36,28
9,Fagaitua,Pocillopora damicornis,-2,3,96,Pocillopora damicornis.Fagaitua.03,36,28
10,Fagaitua,Pocillopora damicornis,-1,3,96,Pocillopora damicornis.Fagaitua.03,36,28
11,FagaAlu,Pocillopora damicornis,0,3,72,Pocillopora damicornis.FagaAlu.03,36,21
12,FagaAlu,Pocillopora damicornis,1,3,64.38333333,Pocillopora damicornis.FagaAlu.03,36,18.78333333
13,FagaAlu,Pocillopora damicornis,2,3,64.38333333,Pocillopora damicornis.FagaAlu.03,36,18.78333333
14,FagaAlu,Pocillopora damicornis,3,3,64.38333333,Pocillopora damicornis.FagaAlu.03,36,18.78333333
15,FagaAlu,Pocillopora damicornis,4,3,64.38333333,Pocillopora damicornis.FagaAlu.03,36,18.78333333
16,FagaAlu,Pocillopora damicornis,5,3,65.08888889,Pocillopora damicornis.FagaAlu.03,36,18.9875
17,FagaAlu,Pocillopora damicornis,6,3,80,Pocillopora damicornis.FagaAlu.03,36,23.33333333
18,FagaAlu,Pocillopora damicornis,7,3,96,Pocillopora damicornis.FagaAlu.03,36,28
19,FagaAlu,Pocillopora damicornis,8,3,64.38333333,Pocillopora damicornis.FagaAlu.03,36,18.78333333
20,FagaAlu,Pocillopora damicornis,9,3,64.38333333,Pocillopora damicornis.FagaAlu.03,36,18.78333333
21,FagaAlu,Acropora hyacinthus,10,3,51.83333333,Acropora hyacinthus.FagaAlu.03,34.63888889,12.15861111
22,FagaAlu,Acropora hyacinthus,12,3,60,Acropora hyacinthus.FagaAlu.03,36,17.5
23,FagaAlu,Acropora hyacinthus,13,3,51.83333333,Acropora hyacinthus.FagaAlu.03,34.63888889,12.15861111
