"","Site","LBSP","pop2016","Colony","Site_Col","CWC3.Thresh_040","ARed.Thresh_040","FvFm.Thresh_040","CWC3.X0","ARed.X0","Phenotype.X0.PC1","Phenotype.X0.mn"
"1","Faga'tele","Low",0,1,"Faga'tele_1",31.8003475128623,30.6036813093474,30.766755767512,33.3540575605894,31.749942317087,-2.25419362837866,32.5519999388382
"2","Coconut Point","High",6707,1,"Coconut Point_1",33.0047284286759,32.854121904171,36.5,34.0412938630686,34.1815583663491,0.0402807566411281,34.1114261147088
"3","Vatia","Low",640,1,"Vatia_1",34.2361976573842,34.5658078554784,36.5,34.9392453152841,36.5,2.38573639068883,35.7196226576421
"4","Cannery","High",9276,1,"Cannery_1",32.8643466771482,32.9335823255469,36.5,33.7425155857998,33.6365829791411,-0.568058852790368,33.6895492824705
"5","Faga'alu","Medium",910,1,"Faga'alu_1",33.5094426603999,34.3481630168889,36.5,33.8975089664963,34.0982651687346,-0.116481850071346,33.9978870676155
"11","Faga'alu","Medium",910,2,"Faga'alu_2",31.4408375419059,32.8616528772448,33.0193381250289,33.1267405708263,34.1012642821314,-0.615256273301783,33.6140024264788
"12","Vatia","Low",640,2,"Vatia_2",32.1160989095096,33.3403016749645,36.5,32.8634362599976,35.3724825147164,0.179543661396982,34.117959387357
"13","Faga'tele","Low",0,2,"Faga'tele_2",31.1776475403657,30.985231397531,32.4699398707506,32.4324241712802,32.4839489106848,-2.29556700127547,32.4581865409825
"14","Cannery","High",9276,2,"Cannery_2",34.3466231715877,32.6466668621615,36.5,36.5,32.9262920233331,0.684767009894585,34.7131460116666
"21","Coconut Point","High",6707,3,"Coconut Point_3",31.8906741500984,36.5,36.5,33.4572165007822,35.1840470293311,0.422355057051011,34.3206317650566
"22","Vatia","Low",640,3,"Vatia_3",32.2777440260576,31.8471817980578,36.5,33.0951609809677,33.5268805746348,-1.07224467418133,33.3110207778012
"23","Faga'alu","Medium",910,3,"Faga'alu_3",30.4324740112723,31.6105838560562,36.5,31.185922706476,32.5615925783866,-3.04688071334156,31.8737576424313
"24","Faga'tele","Low",0,3,"Faga'tele_3",31.9540003422043,34.245337066316,36.5,33.5829470983443,35.0873203245186,0.430588596372216,34.3351337114314
"25","Cannery","High",9276,3,"Cannery_3",32.338852102653,31.6086401817679,36.5,33.7487386777612,33.1937747409646,-0.900492039185206,33.4712567093629
"31","Vatia","Low",640,4,"Vatia_4",33.1558777023886,36.5,36.5,34.4523427057331,36.5,2.06921563551573,35.4761713528666
"32","Faga'alu","Medium",910,4,"Faga'alu_4",31.2258377104277,32.3963882154834,34.7940456918266,31.7416024938016,33.7291719895644,-1.79843631092282,32.735387241683
"33","Coconut Point","High",6707,4,"Coconut Point_4",31.3117051436787,31.9851762225114,36.5,33.0456113020823,33.2563225949961,-1.31004550607826,33.1509669485392
"34","Faga'tele","Low",0,4,"Faga'tele_4",33.6092421906976,32.1054513209406,36.5,34.3052454743535,33.151013578449,-0.571216805075794,33.7281295264012
"35","Cannery","High",9276,4,"Cannery_4",31.699010125257,32.2268245766832,31.0343410811034,33.1031502064534,33.3332109363221,-1.21421571337,33.2181805713878
"41","Coconut Point","High",6707,5,"Coconut Point_5",32.2433547361984,34.6919461645123,36.5,33.4690679950453,34.8769013237812,0.196667207514123,34.1729846594132
"42","Cannery","High",9276,5,"Cannery_5",33.3195621601309,33.6038470157287,36.5,34.4977799563877,34.6647978136463,0.704229919698018,34.581288885017
"43","Faga'alu","Medium",910,5,"Faga'alu_5",31.7032517825929,34.2018970788496,36.5,33.5842101712263,34.2651532026109,-0.193334042553343,33.9246816869186
"44","Vatia","Low",640,5,"Vatia_5",31.7731923528686,31.3755506009461,36.5,32.4085944933063,32.038362926913,-2.6496473280145,32.2234787101097
"45","Faga'tele","Low",0,5,"Faga'tele_5",36.5,36.5,36.5,36.5,36.5,3.40033611095277,36.5
"51","Faga'tele","Low",0,6,"Faga'tele_6",32.6486669614793,32.3741296890151,36.5,33.8228543493077,33.5047110083933,-0.616039167622818,33.6637826788505
"52","Cannery","High",9276,6,"Cannery_6",33.1335973228978,34.6643016438382,36.5,33.9538202410287,35.1267368423862,0.70163368351372,34.5402785417074
"53","Faga'alu","Medium",910,6,"Faga'alu_6",32.9545040853271,33.8747349606279,36.5,33.4734952161461,35.0055577850213,0.297307958480265,34.2395265005837
"54","Vatia","Low",640,6,"Vatia_6",36.5,36.5,31.8883617306242,36.5,36.5,3.40033611095277,36.5
"55","Coconut Point","High",6707,6,"Coconut Point_6",31.4116979679493,30.6199079896572,35.3050608560235,33.3391752932986,31.3622295508653,-2.55848113751396,32.3507024220819
"61","Vatia","Low",640,7,"Vatia_7",36.5,33.5215235319189,32.6765347977512,36.5,33.9707889534874,1.47845345775104,35.2353944767437
"62","Coconut Point","High",6707,7,"Coconut Point_7",32.2256525890837,36.5,32.0679841084154,33.0496062076921,36.5,1.15733879000396,34.7748031038461
"63","Faga'alu","Medium",910,7,"Faga'alu_7",30.5218127740199,32.2740676173524,32.5591536278341,31.6497848614533,33.4266893720121,-2.08797298338034,32.5382371167327
"64","Faga'tele","Low",0,7,"Faga'tele_7",31.2597586084818,30.8372921979625,32.5359891020186,33.2780764992161,33.034415028479,-1.32754873947658,33.1562457638476
"65","Cannery","High",9276,7,"Cannery_7",32.1233063380665,33.4652808801541,36.5,33.9401585677708,34.2259804587473,0.00829094977869777,34.0830695132591
"71","Vatia","Low",640,8,"Vatia_8",34.8370689096218,36.5,36.5,35.4216294049831,36.5,2.69931979188645,35.9608147024915
"72","Faga'alu","Medium",910,8,"Faga'alu_8",34.9894364025249,36.5,36.5,34.7868726759134,36.5,2.28668351659184,35.6434363379567
"73","Faga'tele","Low",0,8,"Faga'tele_8",34.1762452673733,32.8519473502761,33.8100617591187,34.7456323495721,35.2425757606546,1.30438996669257,34.9941040551133
"74","Coconut Point","High",6707,8,"Coconut Point_8",34.3437398898239,32.9820164309837,30.1388656871347,36.5,34.3818440224407,1.79080366973567,35.4409220112204
"75","Cannery","High",9276,8,"Cannery_8",34.448251085397,31.4234078889475,36.5,34.4900294400095,33.1627639775604,-0.442165474578305,33.826396708785
