#,Date,"Time,","Temp, °C (LGR S/N: 20622575, SEN S/N: 20622575, LBL: Faga'Alu)","Intensity, lum/ft² (LGR S/N: 20622575, SEN S/N: 20622575, LBL: Faga'Alu)"
1,8/13/19,5:00:00,29.652,152
2,8/13/19,5:30:00,29.152,70
3,8/13/19,6:00:00,28.853,26
4,8/13/19,6:30:00,28.655,0
5,8/13/19,7:00:00,28.456,0
6,8/13/19,7:30:00,28.456,0
7,8/13/19,8:00:00,28.357,0
8,8/13/19,8:30:00,28.258,0
9,8/13/19,9:00:00,28.258,0
10,8/13/19,9:30:00,28.159,0
11,8/13/19,10:00:00,28.159,0
12,8/13/19,10:30:00,28.06,0
13,8/13/19,11:00:00,27.961,0
14,8/13/19,11:30:00,27.961,0
15,8/14/19,12:00:00,27.862,0
16,8/14/19,12:30:00,27.764,0
17,8/14/19,1:00:00,27.665,0
18,8/14/19,1:30:00,27.567,0
19,8/14/19,2:00:00,27.567,0
20,8/14/19,2:30:00,27.37,0
21,8/14/19,3:00:00,27.37,0
22,8/14/19,3:30:00,27.468,0
23,8/14/19,4:00:00,27.468,0
24,8/14/19,4:30:00,27.567,0
25,8/14/19,5:00:00,27.764,0
26,8/14/19,5:30:00,27.862,0
27,8/14/19,6:00:00,27.961,0
28,8/14/19,6:30:00,28.06,1
29,8/14/19,7:00:00,28.159,26
30,8/14/19,7:30:00,28.258,96
31,8/14/19,8:00:00,28.754,184
32,8/14/19,8:30:00,28.655,136
33,8/14/19,9:00:00,29.352,416
34,8/14/19,9:30:00,28.655,152
35,8/14/19,10:00:00,28.853,208
36,8/14/19,10:30:00,29.352,304
37,8/14/19,11:00:00,29.953,768
38,8/14/19,11:30:00,29.853,320
39,8/14/19,12:00:00,30.054,704
40,8/14/19,12:30:00,30.356,432
41,8/14/19,1:00:00,30.558,1280
42,8/14/19,1:30:00,30.154,304
43,8/14/19,2:00:00,30.457,704
44,8/14/19,2:30:00,30.054,288
45,8/14/19,3:00:00,30.457,608
46,8/14/19,3:30:00,30.457,576
47,8/14/19,4:00:00,30.054,304
