#,Date,Time,"Temp, ¡C (LGR S/N: 20622586, SEN S/N: 20622586, LBL: Faga'tele)","Intensity, lum/ft_ (LGR S/N: 20622586, SEN S/N: 20622586, LBL: Faga'tele)"
1,8/9/19,5:00:00,29.352,352
2,8/9/19,5:30:00,29.053,272
3,8/9/19,6:00:00,28.853,56
4,8/9/19,6:30:00,28.754,1
5,8/9/19,7:00:00,28.655,0
6,8/9/19,7:30:00,28.655,0
7,8/9/19,8:00:00,28.655,0
8,8/9/19,8:30:00,28.555,0
9,8/9/19,9:00:00,28.555,0
10,8/9/19,9:30:00,28.555,0
11,8/9/19,10:00:00,28.555,0
12,8/9/19,10:30:00,28.555,0
13,8/9/19,11:00:00,28.555,0
14,8/9/19,11:30:00,28.456,0
15,8/10/19,12:00:00,28.456,0
16,8/10/19,12:30:00,28.456,0
17,8/10/19,1:00:00,28.456,0
18,8/10/19,1:30:00,28.555,0
19,8/10/19,2:00:00,28.555,0
20,8/10/19,2:30:00,28.555,0
21,8/10/19,3:00:00,28.555,0
22,8/10/19,3:30:00,28.456,0
23,8/10/19,4:00:00,28.456,0
24,8/10/19,4:30:00,28.456,0
25,8/10/19,5:00:00,28.456,0
26,8/10/19,5:30:00,28.456,0
27,8/10/19,6:00:00,28.456,0
28,8/10/19,6:30:00,28.456,1
29,8/10/19,7:00:00,28.555,42
30,8/10/19,7:30:00,28.456,100
31,8/10/19,8:00:00,28.555,168
32,8/10/19,8:30:00,28.655,352
33,8/10/19,9:00:00,29.053,432
34,8/10/19,9:30:00,28.953,704
35,8/10/19,10:00:00,29.152,992
36,8/10/19,10:30:00,29.652,2304
37,8/10/19,11:00:00,30.054,1856
38,8/10/19,11:30:00,29.953,1536
39,8/10/19,12:00:00,30.558,2304
40,8/10/19,12:30:00,30.76,2432
41,8/10/19,1:00:00,30.558,3456
42,8/10/19,1:30:00,30.76,4608
43,8/10/19,2:00:00,30.558,5376
44,8/10/19,2:30:00,30.356,2944
45,8/10/19,3:00:00,30.054,1856
46,8/10/19,3:30:00,29.853,1984
47,8/10/19,4:00:00,29.452,3072
48,8/10/19,4:30:00,29.452,1152
49,8/10/19,5:00:00,29.252,432
50,8/10/19,5:30:00,29.152,248
51,8/10/19,6:00:00,29.053,97
52,8/10/19,6:30:00,28.953,0
53,8/10/19,7:00:00,28.853,0
54,8/10/19,7:30:00,28.754,0
55,8/10/19,8:00:00,28.754,0
56,8/10/19,8:30:00,28.754,0
57,8/10/19,9:00:00,28.655,0
58,8/10/19,9:30:00,28.655,0
59,8/10/19,10:00:00,28.655,0
60,8/10/19,10:30:00,28.655,0
61,8/10/19,11:00:00,28.655,0
62,8/10/19,11:30:00,28.655,0
63,8/11/19,12:00:00,28.555,0
64,8/11/19,12:30:00,28.555,0
65,8/11/19,1:00:00,28.555,0
66,8/11/19,1:30:00,28.555,0
67,8/11/19,2:00:00,28.555,0
68,8/11/19,2:30:00,28.555,0
69,8/11/19,3:00:00,28.555,0
70,8/11/19,3:30:00,28.555,0
