#,Date,"Time,","Temp, °C (LGR S/N: 20641684, SEN S/N: 20641684, LBL: Vatia 8_13_19)","Intensity, lum/ft² (LGR S/N: 20641684, SEN S/N: 20641684, LBL: Vatia)"
1,8/13/19,5:00:00,29.152,480
2,8/13/19,5:30:00,28.953,200
3,8/13/19,6:00:00,28.853,54
4,8/13/19,6:30:00,28.853,0
5,8/13/19,7:00:00,28.754,0
6,8/13/19,7:30:00,28.754,0
7,8/13/19,8:00:00,28.655,0
8,8/13/19,8:30:00,28.655,0
9,8/13/19,9:00:00,28.655,0
10,8/13/19,9:30:00,28.655,0
11,8/13/19,10:00:00,28.655,0
12,8/13/19,10:30:00,28.655,0
13,8/13/19,11:00:00,28.655,0
14,8/13/19,11:30:00,28.555,0
15,8/14/19,12:00:00,28.555,0
16,8/14/19,12:30:00,28.555,0
17,8/14/19,1:00:00,28.555,0
18,8/14/19,1:30:00,28.456,0
19,8/14/19,2:00:00,28.456,0
20,8/14/19,2:30:00,28.456,0
21,8/14/19,3:00:00,28.456,0
22,8/14/19,3:30:00,28.357,0
23,8/14/19,4:00:00,28.357,0
24,8/14/19,4:30:00,28.357,0
25,8/14/19,5:00:00,28.456,0
26,8/14/19,5:30:00,28.456,0
27,8/14/19,6:00:00,28.456,0
28,8/14/19,6:30:00,28.456,3
29,8/14/19,7:00:00,28.456,95
30,8/14/19,7:30:00,28.655,512
31,8/14/19,8:00:00,28.953,1344
32,8/14/19,8:30:00,29.252,1600
33,8/14/19,9:00:00,29.452,2816
34,8/14/19,9:30:00,29.053,1216
35,8/14/19,10:00:00,29.452,5120
36,8/14/19,10:30:00,29.752,2816
37,8/14/19,11:00:00,30.154,4096
38,8/14/19,11:30:00,30.457,2048
39,8/14/19,12:00:00,30.558,3584
40,8/14/19,12:30:00,30.659,4352
41,8/14/19,1:00:00,30.457,3968
42,8/14/19,1:30:00,30.356,1216
43,8/14/19,2:00:00,30.255,1472
44,8/14/19,2:30:00,29.552,512
45,8/14/19,3:00:00,29.953,576
46,8/14/19,3:30:00,29.953,576
47,8/14/19,4:00:00,29.752,416
48,8/14/19,4:30:00,29.352,384
49,8/14/19,5:00:00,29.053,184
50,8/14/19,5:30:00,28.953,89
51,8/14/19,6:00:00,28.853,45
52,8/14/19,6:30:00,28.754,0
53,8/14/19,7:00:00,28.754,0
54,8/14/19,7:30:00,28.754,0
55,8/14/19,8:00:00,28.655,0
56,8/14/19,8:30:00,28.655,0
57,8/14/19,9:00:00,28.655,0
58,8/14/19,9:30:00,28.754,0
59,8/14/19,10:00:00,28.754,0
60,8/14/19,10:30:00,28.754,0
61,8/14/19,11:00:00,28.754,0
62,8/14/19,11:30:00,28.655,0
63,8/15/19,12:00:00,28.555,0
64,8/15/19,12:30:00,28.456,0
65,8/15/19,1:00:00,28.555,0
66,8/15/19,1:30:00,28.456,0
67,8/15/19,2:00:00,28.555,0
68,8/15/19,2:30:00,28.555,0
69,8/15/19,3:00:00,28.555,0
70,8/15/19,3:30:00,28.555,0
71,8/15/19,4:00:00,28.456,0
72,8/15/19,4:30:00,28.456,0
73,8/15/19,5:00:00,28.456,0
74,8/15/19,5:30:00,28.456,0
75,8/15/19,6:00:00,28.456,0
