,Tank,Colony,Time.point,Ramp,Coral.Watch.Color1,Coral.Watch.Color2,Coral.Watch.Color3,PAM..Fv.Fm.,RNAlater.,avgred,site,LBSP,DIN,avg.red
1,A,1,Recovery,28,5,4.5,4,0.624,,156.9,Fagatele,Low,0.3,NA
2,A,1,Recovery,28,5.5,5,4.5,0.668,,161.5,Coconut Point,NA,NA,NA
3,A,1,Recovery,28,5.5,5.5,4.5,0.615,,162.2,Vatia,Low,4.1,162.2
4,A,1,Recovery,28,6,6,5,0.626,,94.8,Cannery,High,14.6,NA
5,A,1,Recovery,28,6,6,5.5,0.61,,134.8,Faga'alu,Medium,6.7,NA
6,A,1,Stress,28,5,5.5,NA,0.61,,111,Vatia,Low,4.1,111
7,A,1,Stress,28,5.5,5.5,NA,0.627,,120,Cannery,High,14.6,NA
8,A,1,Stress,28,6,6,NA,0.65,,135.8,Faga'alu,Medium,6.7,NA
9,A,1,Stress,28,6,6,NA,0.605,,68.3,Fagatele,Low,0.3,NA
10,A,1,Stress,28,4.5,5.5,NA,0.667,,NA,Coconut Point,NA,NA,NA
11,A,2,Recovery,28,5.5,5,5.5,0.624,,134.2,Faga'alu,Medium,6.7,NA
12,A,2,Recovery,28,5.5,5.5,5,0.638,,152.5,Vatia,Low,4.1,152.5
13,A,2,Recovery,28,6,6,5.5,0.652,,148.6,Fagatele,Low,0.3,NA
14,A,2,Recovery,28,6,6,5.5,0.671,,126.9,Cannery,High,14.6,NA
15,A,2,Recovery,28,6,NA,NA,NA,,NA,Coconut Point,NA,NA,NA
16,A,2,Stress,28,5,5,NA,0.598,,164.6,Faga'alu,Medium,6.7,NA
17,A,2,Stress,28,6,5.5,NA,0.647,,NA,Coconut Point,NA,NA,NA
18,A,2,Stress,28,6,6,NA,0.645,,44.2,Vatia,Low,4.1,44.2
19,A,2,Stress,28,6,6,NA,0.672,,129.7,Cannery,High,14.6,NA
20,A,2,Stress,28,6,6,NA,0.612,,84.8,Fagatele,Low,0.3,NA
21,A,3,Recovery,28,5.5,5,5,0.647,,168.5,Coconut Point,NA,NA,NA
22,A,3,Recovery,28,6,5.5,5,0.647,,141,Vatia,Low,4.1,141
23,A,3,Recovery,28,6,6,5,0.587,,146.7,Faga'alu,Medium,6.7,NA
24,A,3,Recovery,28,6,6,5,0.604,,205.7,Fagatele,Low,0.3,NA
25,A,3,Recovery,28,6,6,6,0.636,,84.5,Cannery,High,14.6,NA
26,A,3,Stress,28,5.5,5,NA,0.628,,120.8,Fagatele,Low,0.3,NA
27,A,3,Stress,28,5.5,5.5,NA,0.653,,118.3,Cannery,High,14.6,NA
28,A,3,Stress,28,6,5,NA,0.677,,NA,Coconut Point,NA,NA,NA
29,A,3,Stress,28,6,5.5,NA,0.61,,92.1,Vatia,Low,4.1,92.1
30,A,3,Stress,28,6,5.5,NA,0.62,,137.7,Faga'alu,Medium,6.7,NA
31,A,4,Recovery,28,5,5,4,0.622,,239.3,Vatia,Low,4.1,239.3
32,A,4,Recovery,28,5.5,5.5,5,0.606,,151.8,Faga'alu,Medium,6.7,NA
