Tank,Colony,Time.point,Ramp,Coral.Watch.Color1,Coral.Watch.Color2,Coral.Watch.Color3,PAM..Fv.Fm.,Site,LBSP,pop2016,AverageRed
A,1,Recovery,28,5,4.5,4,0.624,Faga'tele,Low,0,156.9
A,1,Recovery,28,5.5,5,4.5,0.668,Coconut Point,High,6707,161.5
A,1,Recovery,28,5.5,5.5,4.5,0.615,Vatia,Low,640,162.2
A,1,Recovery,28,6,6,5,0.626,Cannery,High,9276,94.8
A,1,Recovery,28,6,6,5.5,0.61,Faga'alu,Medium,910,134.8
A,1,Stress,28,5,5.5,NA,0.61,Vatia,Low,640,111
A,1,Stress,28,5.5,5.5,NA,0.627,Cannery,High,9276,120
A,1,Stress,28,6,6,NA,0.65,Faga'alu,Medium,910,135.8
A,1,Stress,28,6,6,NA,0.605,Faga'tele,Low,0,68.3
A,1,Stress,28,4.5,5.5,NA,0.667,Coconut Point,High,6707,NA
A,2,Recovery,28,5.5,5,5.5,0.624,Faga'alu,Medium,910,134.2
A,2,Recovery,28,5.5,5.5,5,0.638,Vatia,Low,640,152.5
A,2,Recovery,28,6,6,5.5,0.652,Faga'tele,Low,0,148.6
A,2,Recovery,28,6,6,5.5,0.671,Cannery,High,9276,126.9
A,2,Recovery,28,6,NA,NA,NA,Coconut Point,High,6707,NA
A,2,Stress,28,5,5,NA,0.598,Faga'alu,Medium,910,164.6
A,2,Stress,28,6,5.5,NA,0.647,Coconut Point,High,6707,NA
A,2,Stress,28,6,6,NA,0.645,Vatia,Low,640,44.2
A,2,Stress,28,6,6,NA,0.672,Cannery,High,9276,129.7
A,2,Stress,28,6,6,NA,0.612,Faga'tele,Low,0,84.8
A,3,Recovery,28,5.5,5,5,0.647,Coconut Point,High,6707,168.5
A,3,Recovery,28,6,5.5,5,0.647,Vatia,Low,640,141
A,3,Recovery,28,6,6,5,0.587,Faga'alu,Medium,910,146.7
A,3,Recovery,28,6,6,5,0.604,Faga'tele,Low,0,205.7
A,3,Recovery,28,6,6,6,0.636,Cannery,High,9276,84.5
A,3,Stress,28,5.5,5,NA,0.628,Faga'tele,Low,0,120.8
A,3,Stress,28,5.5,5.5,NA,0.653,Cannery,High,9276,118.3
A,3,Stress,28,6,5,NA,0.677,Coconut Point,High,6707,NA
A,3,Stress,28,6,5.5,NA,0.61,Vatia,Low,640,92.1
A,3,Stress,28,6,5.5,NA,0.62,Faga'alu,Medium,910,137.7
A,4,Recovery,28,5,5,4,0.622,Vatia,Low,640,239.3
A,4,Recovery,28,5.5,5.5,5,0.606,Faga'alu,Medium,910,151.8
A,4,Recovery,28,6,5.5,5,0.646,Coconut Point,High,6707,153.6
A,4,Recovery,28,6,5.5,5,0.603,Faga'tele,Low,0,169.1
A,4,Recovery,28,6,6,6,0.677,Cannery,High,9276,133.4
A,4,Stress,28,5,5,NA,0.653,Coconut Point,High,6707,NA
A,4,Stress,28,5,5,NA,0.658,Faga'alu,Medium,910,153.6
A,4,Stress,28,6,5,NA,0.636,Faga'tele,Low,0,152.5
A,4,Stress,28,6,5.5,NA,0.527,Vatia,Low,640,100.2
A,4,Stress,28,6,6,NA,0.67,Cannery,High,9276,96.5
A,5,Recovery,28,5,5,4.5,0.629,Coconut Point,High,6707,171.4
A,5,Recovery,28,5.5,5.5,4.5,0.649,Cannery,High,9276,115.9
A,5,Recovery,28,5.5,5.5,5.5,0.62,Faga'alu,Medium,910,136.1
A,5,Recovery,28,6,6,5.5,0.65,Vatia,Low,640,122.8
