"","Colony","Time.point","Site","LBSP","pop2016","DIN","Rep","28","33","34","35","Field","t35_normalizedto28","t34_normalizedto28","t33_normalizedto28"
"1",1,"Recovery","Cannery","High",9276,5.4,"1",94.8,125.4,208.9,171.9,NA,77.1,114.1,30.6
"2",1,"Recovery","Cannery","High",9276,5.4,"2",153.5,123.7,200.7,191.8,NA,38.3,47.2,-29.8
"3",1,"Recovery","Coconut Point","High",6707,48.8,"1",161.5,188.6,173.5,205.9,NA,44.4,12,27.1
"4",1,"Recovery","Coconut Point","High",6707,48.8,"2",140.2,184.2,182.4,217.5,NA,77.3,42.2,44
"5",1,"Recovery","Faga'alu","Medium",910,6.7,"1",134.8,142.3,196.5,219.2,NA,84.4,61.7,7.5
"6",1,"Recovery","Faga'alu","Medium",910,6.7,"2",158.1,135,188.8,205.9,NA,47.8,30.7,-23.1
"7",1,"Recovery","Faga'tele","Low",0,0.3,"1",156.9,243.5,246.2,247.1,NA,90.2,89.3,86.6
"8",1,"Recovery","Faga'tele","Low",0,0.3,"2",162.1,213.5,228.7,245,NA,82.9,66.6,51.4
"9",1,"Recovery","Vatia","Low",640,4.1,"1",162.2,183.2,189.2,222.5,NA,60.3,27,21
"10",1,"Recovery","Vatia","Low",640,4.1,"2",164.4,186.1,202.8,170.7,NA,6.29999999999998,38.4,21.7
"11",2,"Recovery","Cannery","High",9276,5.4,"1",126.9,206.3,212.4,208.2,NA,81.3,85.5,79.4
"12",2,"Recovery","Cannery","High",9276,5.4,"2",141.3,174.1,180,129.8,NA,-11.5,38.7,32.8
"13",2,"Recovery","Coconut Point","High",6707,48.8,"1",NA,201.5,229.3,246.2,NA,NA,NA,NA
"14",2,"Recovery","Coconut Point","High",6707,48.8,"2",169.6,174.5,216,222,NA,52.4,46.4,4.90000000000001
"15",2,"Recovery","Faga'alu","Medium",910,6.7,"1",134.2,177.4,208.7,193.9,NA,59.7,74.5,43.2
"16",2,"Recovery","Faga'alu","Medium",910,6.7,"2",164.9,162.3,208,195.5,NA,30.6,43.1,-2.59999999999999
"17",2,"Recovery","Faga'tele","Low",0,0.3,"1",148.6,211,241.6,238.4,NA,89.8,93,62.4
"18",2,"Recovery","Faga'tele","Low",0,0.3,"2",150.8,201.7,205.5,250.8,NA,100,54.7,50.9
"19",2,"Recovery","Vatia","Low",640,4.1,"1",152.5,228.2,216.5,209.3,NA,56.8,64,75.7
"20",2,"Recovery","Vatia","Low",640,4.1,"2",189.2,185.7,215.1,194.6,NA,5.40000000000001,25.9,-3.5
"21",3,"Recovery","Cannery","High",9276,5.4,"1",84.5,149.8,145.9,212.4,NA,127.9,61.4,65.3
"22",3,"Recovery","Cannery","High",9276,5.4,"2",81.3,56.9,198.7,204,NA,122.7,117.4,-24.4
