Tank colony,Time point,Ramp,Coral Watch Color1,Coral Watch Color2,Coral Watch Color3,PAM (Fv/Fm),RNAlater?,notes,,AVG Red
,,,time: 13:08,time: 16:50,time: 19:53,time: 19:59,time:,,,
FieldCont1,NA,Field,5,NA,NA,0.641,yes,Field (2:05 pm for PAM),,144.8
FieldCont2,NA,Field,4.5,NA,NA,0.616,yes,,,185.9
FieldCont3,NA,Field,4,NA,NA,0.603,yes,,,186.5
FieldCont4,NA,Field,6,NA,NA,0.676,yes,,,125.1
FieldCont5,NA,Field,5.5,NA,NA,0.643,yes,,,144.4
FieldCont6,NA,Field,5.5,NA,NA,0.608,yes,,,155.1
FieldCont7,NA,Field,5.5,NA,NA,0.634,yes,,,152.7
FieldCont8,NA,Field,5,NA,NA,0.645,yes,,,160
A1,Stress,29,5.5,5.5,NA,0.622,,,,142.7
A2,Stress,29,6,6,NA,0.58,,,,123
A3,Stress,29,4.5,4.5,NA,0.599,,,,184.3
A4,Stress,29,5.5,5.5,NA,0.614,,,,156.5
A5,Stress,29,5.5,5.5,NA,0.648,,,,155
A6,Stress,29,5.5,5.5,NA,0.563,,,,158.4
A7,Stress,29,6,6,NA,0.624,,,,134.2
A8,Stress,29,5,5,NA,0.596,,,,151.3
A1,Recovery,29,5,5.5,3,0.634,,,,NA
A2,Recovery,29,6,6,2.5,0.61,,,,NA
A3,Recovery,29,5,5,2.5,0.633,,,,NA
A4,Recovery,29,6,5.5,3,0.688,,,,NA
A5,Recovery,29,5,5,2,0.614,,,,NA
A6,Recovery,29,5,5,2,0.579,,,,NA
A7,Recovery,29,6,6,2,0.624,,,,NA
A8,Recovery,29,5,5,2,0.575,,,,NA
B1,Stress,33,6,5.5,NA,0.553,,,,183.6
B2,Stress,33,5.5,5.5,NA,0.521,,,,154
B3,Stress,33,5,4,NA,0.604,,,,185
B4,Stress,33,6,6,NA,0.594,,,,116.9
B5,Stress,33,5.5,5.5,NA,0.605,,,,171.3
B6,Stress,33,5.5,5.5,NA,0.618,,,,148.9
B7,Stress,33,5.5,5.5,NA,0.62,,,,146.1
B8,Stress,33,5.5,5.5,NA,0.612,,,,144.9
B1,Recovery,33,6,5.5,2,0.627,,,,NA
B2,Recovery,33,6,5.5,2,0.589,,,,NA
B3,Recovery,33,5,4,1.5,0.394,,,,NA
B4,Recovery,33,6,6,3,0.617,,,,NA
B5,Recovery,33,6,5.5,1,0.584,,,,NA
B6,Recovery,33,5.5,6,1,0.565,,,,NA
B7,Recovery,33,NA,NA,NA,NA,,,,NA
B8,Recovery,33,5,5,2,0.607,,,,NA
C1,Stress,34,6,5,NA,0.568,,,,184.1
C2,Stress,34,6,6,NA,0.613,,,,155.5
C3,Stress,34,5.5,5,NA,0.557,,,,152.1
C4,Stress,34,6,6,NA,0.582,,,,144.9
C5,Stress,34,6,5,NA,0.512,,,,167.9
C6,Stress,34,5.5,5,NA,0.596,,,,124.1
C7,Stress,34,6,5.5,NA,0.406,,,,163.1
C8,Stress,34,5.5,5,NA,0.593,,,,171.9
C1,Recovery,34,5.5,4,2,0.531,,,,220.5
C2,Recovery,34,5.5,5.5,2,0.565,,,,212.4
C3,Recovery,34,5,3.5,1.5,0.547,,,,199.4
C4,Recovery,34,6,6,4,0.601,,,,168.3
C5,Recovery,34,5.5,5.5,2.5,0.548,,,,212.7
