Tank,Colony,Time point,Ramp,Coral Watch Color1,Coral Watch Color2,Coral Watch Color3,PAM (Fv/Fm),RNAlater?,Avg Red
,,,,time: 12:42,time: 18:02,time:,time:,time:,
FieldCont,1,NA,Field,5,NA,NA,0.697,yes,70.6
FieldCont,2,NA,Field,5.5,NA,NA,0.691,yes,91.3
FieldCont,3,NA,Field,5,NA,NA,0.66,yes,131.7
FieldCont,4,NA,Field,6,NA,NA,0.684,yes,49.1
FieldCont,5,NA,Field,6,NA,NA,0.628,yes,82.4
FieldCont,6,NA,Field,5.5,NA,NA,0.686,yes,84.8
FieldCont,7,NA,Field,6,NA,NA,0.628,yes,98.6
FieldCont,8,NA,Field,6,NA,NA,0.68,yes,55.9
A,1,Stress,28,5.5,5.5,NA,0.627,,120
A,2,Stress,28,6,6,NA,0.672,,129.7
A,3,Stress,28,5.5,5.5,NA,0.653,,118.3
A,4,Stress,28,6,6,NA,0.67,,96.5
A,5,Stress,28,6,6,NA,0.653,,97.8
A,6,Stress,28,6,6,NA,0.665,,134.5
A,7,Stress,28,5.5,5.5,NA,0.65,,136.7
A,8,Stress,28,6,6,NA,0.685,,110.8
A,1,Recovery,28,6,6,5,0.626,,94.8
A,2,Recovery,28,6,6,5.5,0.671,,126.9
A,3,Recovery,28,6,6,6,0.636,,84.5
A,4,Recovery,28,6,6,6,0.677,,133.4
A,5,Recovery,28,5.5,5.5,4.5,0.649,,115.9
A,6,Recovery,28,6,5.5,5,0.639,,140.3
A,7,Recovery,28,6,6,6,0.663,,125.5
A,8,Recovery,28,6,6,5.5,0.636,,99.8
B,1,Stress,33,6,5,NA,0.627,,100.4
B,2,Stress,33,6,5.5,NA,0.672,,114.5
B,3,Stress,33,5.5,5.5,NA,0.658,,125.9
B,4,Stress,33,6,6,NA,0.668,,98.7
B,5,Stress,33,6,5.5,NA,0.667,,109.2
B,6,Stress,33,6,5,NA,0.667,,145.9
B,7,Stress,33,6,6,NA,0.669,,130.1
B,8,Stress,33,6,6,NA,0.652,,73.7
B,1,Recovery,33,6,6,4.5,0.645,,125.4
B,2,Recovery,33,6,5.5,3.5,0.633,,206.3
B,3,Recovery,33,6,6,5.5,0.633,,149.8
B,4,Recovery,33,6,5.5,4.5,0.586,,193.2
B,5,Recovery,33,5,5,4,0.625,,189
B,6,Recovery,33,6,6,4.5,0.676,,143.1
B,7,Recovery,33,5.5,5.5,4,0.653,,165
B,8,Recovery,33,5.5,5.5,5,0.63,,104.2
C,1,Stress,34,6,6,NA,0.638,,101.6
C,2,Stress,34,6,5.5,NA,0.658,,121.6
C,3,Stress,34,6,5.5,NA,0.659,,105.8
C,4,Stress,34,6,5.5,NA,0.661,,107.5
