Tank,Colony,Time point,Ramp,Coral Watch Color1,Coral Watch Color2,Coral Watch Color3,PAM (Fv/Fm),RNAlater?,avgred
,,,,time: 12:49,time: 18:15,time: ,time: 20:00,time:,
FieldCont,1,NA,Field,5,NA,NA,0.643,,121.3
FieldCont,2,NA,Field,6,NA,NA,0.66,,120
FieldCont,3,NA,Field,5,NA,NA,0.661,,154.5
FieldCont,4,NA,Field,6,NA,NA,0.641,,153.8
FieldCont,5,NA,Field,4,NA,NA,0.632,,176.6
FieldCont,6,NA,Field,5,NA,NA,0.64,,147.1
FieldCont,7,NA,Field,6,NA,NA,0.643,,138.3
FieldCont,8,NA,Field,5,NA,NA,0.613,,132.2
A,1,Stress,28,4.5,5.5,NA,0.667,,
A,2,Stress,28,6,5.5,NA,0.647,,
A,3,Stress,28,6,5,NA,0.677,,
A,4,Stress,28,5,5,NA,0.653,,
A,5,Stress,28,5,5,NA,0.636,,
A,6,Stress,28,5.5,5.5,NA,0.663,,
A,7,Stress,28,6,5.5,NA,0.658,,
A,8,Stress,28,6,5.5,NA,0.606,,
A,1,Recovery,28,5.5,5,4.5,0.668,,161.5
A,2,Recovery,28,6,NA,NA,NA,,NA
A,3,Recovery,28,5.5,5,5,0.647,,168.5
A,4,Recovery,28,6,5.5,5,0.646,,153.6
A,5,Recovery,28,5,5,4.5,0.629,,171.4
A,6,Recovery,28,4.5,4.5,3.5,0.653,,209.3
A,7,Recovery,28,6,5.5,5,0.665,,181.5
A,8,Recovery,28,6,6,5,0.633,,137.2
B,1,Stress,33,5.5,5.5,NA,0.648,,
B,2,Stress,33,5.5,4.5,NA,0.658,,
B,3,Stress,33,5.5,4.5,NA,0.629,,
B,4,Stress,33,6,4.5,NA,0.667,,
B,5,Stress,33,4.5,3.5,NA,0.647,,
B,6,Stress,33,5,4,NA,0.632,,
B,7,Stress,33,6,5.5,NA,0.633,,
B,8,Stress,33,5,3.5,NA,0.588,,
B,1,Recovery,33,5.5,5,3.5,0.612,,188.6
B,2,Recovery,33,6,5,3.5,0.598,,201.5
B,3,Recovery,33,5,3.5,3.5,0.64,,214.8
B,4,Recovery,33,5.5,5.5,3.5,0.645,,230.6
B,5,Recovery,33,4.5,4.5,3.5,0.65,,193.9
B,6,Recovery,33,6,5,3.5,0.648,,167.1
B,7,Recovery,33,6,5.5,2.5,0.631,,220.2
B,8,Recovery,33,5.5,3.5,3.5,0.557,,186.4
C,1,Stress,34,5,4,NA,0.638,,
C,2,Stress,34,6,5.5,NA,0.661,,
C,3,Stress,34,5,3.5,NA,0.638,,
C,4,Stress,34,5,5,NA,0.593,,
C,5,Stress,34,4.5,4,NA,0.631,,
C,6,Stress,34,4.5,5,NA,0.624,,
C,7,Stress,34,6,5,NA,0.647,,
C,8,Stress,34,6,5.5,NA,0.658,,
C,1,Recovery,34,5.5,5.5,2.5,0.668,,173.5
C,2,Recovery,34,5.5,4.5,2,0.656,,229.3
C,3,Recovery,34,6,5,3,0.628,,182.9
C,4,Recovery,34,6,6,2.5,0.671,,200.8
C,5,Recovery,34,5,5,2.5,0.638,,194
C,6,Recovery,34,5.5,5.5,2,0.659,,194.3
C,7,Recovery,34,6,5.5,3,0.631,,230
C,8,Recovery,34,5.5,5,3.5,0.61,,176.3
D,1,Stress,35,5.5,5.5,NA,0.653,,
D,2,Stress,35,6,5.5,NA,0.655,,
D,3,Stress,35,5.5,3.5,NA,0.632,,
D,4,Stress,35,5.5,5,NA,0.627,,
D,5,Stress,35,5,4,NA,0.605,,
D,6,Stress,35,5,4,NA,0.654,,
D,7,Stress,35,5.5,5,NA,0.632,,
D,8,Stress,35,5.5,5,NA,0.647,,
D,1,Recovery,35,5.5,5.5,2.5,0.655,,205.9
D,2,Recovery,35,6,5,2,0.652,,246.2
D,3,Recovery,35,5,4,2,0.619,,237.4
D,4,Recovery,35,6,5.5,2,0.667,,223.4
D,5,Recovery,35,5,4.5,2,0.638,,216.8
D,6,Recovery,35,5,5,1.5,0.649,,239.3
D,7,Recovery,35,6,5.5,3,0.625,,208
D,8,Recovery,35,5,5,3.5,0.64,,217.2
E,1,Stress,28,5.5,5,NA,NA,,
E,2,Stress,28,6,6,NA,NA,,
E,3,Stress,28,6,4.5,NA,NA,,
E,4,Stress,28,5.5,5.5,NA,NA,,
E,5,Stress,28,5.5,5.5,NA,NA,,
E,6,Stress,28,5,5,NA,NA,,
E,7,Stress,28,6,6,NA,NA,,
E,8,Stress,28,5.5,5.5,NA,NA,,
E,1,Recovery,28,5.5,5,5,0.62,,140.2
E,2,Recovery,28,5.5,5,5,0.627,,169.6
E,3,Recovery,28,6,6,4.5,0.66,,211.2
E,4,Recovery,28,6,5.5,5.5,0.663,,172.6
E,5,Recovery,28,4.5,5,5,0.647,,170
E,6,Recovery,28,6,6,6,0.678,,85.6
E,7,Recovery,28,6,5.5,4.5,0.667,,222
E,8,Recovery,28,6,5.5,5.5,0.67,,157.2
F,1,Stress,33,5.5,3.5,NA,NA,,
F,2,Stress,33,5.5,4.5,NA,NA,,
F,3,Stress,33,6,3.5,NA,NA,,
F,4,Stress,33,6,6,NA,NA,,
F,5,Stress,33,5.5,5.5,NA,NA,,
F,6,Stress,33,5,3,NA,NA,,
F,7,Stress,33,6,5.5,NA,NA,,
F,8,Stress,33,6,5,NA,NA,,
F,1,Recovery,33,5.5,4.5,4,0.659,,184.2
F,2,Recovery,33,5.5,5,3,0.662,,174.5
