Tank,Colony,Time point,Ramp,Coral Watch Color1,Coral Watch Color2,Coral Watch Color3,PAM (Fv/Fm),RNAlater?,AVG Red
,,,,time: 12:55,time: 18:02,time: 8:35,time: 20:18,time:,
FieldCont,1,NA,Field,6,NA,NA,0.601,,82.9
FieldCont,2,NA,Field,6,NA,NA,0.621,,48.9
FieldCont,3,NA,Field,5.5,NA,NA,0.656,,113.1
FieldCont,4,NA,Field,6,NA,NA,0.642,,89.5
FieldCont,5,NA,Field,6,NA,NA,0.667,,68.9
FieldCont,6,NA,Field,6,NA,NA,0.639,,108.6
FieldCont,7,NA,Field,6,NA,NA,0.653,,79.7
FieldCont,8,NA,Field,5.5,NA,NA,0.664,,101.6
A,1,Stress,28,6,6,NA,0.605,,68.3
A,2,Stress,28,6,6,NA,0.612,,84.8
A,3,Stress,28,5.5,5,NA,0.628,,120.8
A,4,Stress,28,6,5,NA,0.636,,152.5
A,5,Stress,28,6,6,NA,0.593,,83.8
A,6,Stress,28,6,6,NA,0.665,,79.4
A,7,Stress,28,6,5.5,NA,0.641,,87.9
A,8,Stress,28,6,6,NA,0.669,,99.5
A,1,Recovery,28,5,4.5,4,0.624,,156.9
A,2,Recovery,28,6,6,5.5,0.652,,148.6
A,3,Recovery,28,6,6,5,0.604,,205.7
A,4,Recovery,28,6,5.5,5,0.603,,169.1
A,5,Recovery,28,6,6,5.5,0.587,,169
A,6,Recovery,28,5.5,6,4.5,0.65,,165.6
A,7,Recovery,28,6,6,5.5,0.64,,154.2
A,8,Recovery,28,6,6,4.5,0.659,,151
B,1,Stress,33,6,6,NA,0.622,,66.2
B,2,Stress,33,6,6,NA,0.637,,95
B,3,Stress,33,6,6,NA,0.61,,84
B,4,Stress,33,6,6,NA,0.637,,94.5
B,5,Stress,33,6,6,NA,0.616,,100.3
B,6,Stress,33,6,6,NA,0.629,,67.3
B,7,Stress,33,5.5,5.5,NA,0.621,,85.7
B,8,Stress,33,6,6,NA,0.634,,82.5
B,1,Recovery,33,6,6,2.5,0.614,,243.5
B,2,Recovery,33,6,6,2.5,0.645,,211
B,3,Recovery,33,6,6,3,0.618,,232.1
B,4,Recovery,33,6,6,4.5,0.612,,214.6
B,5,Recovery,33,6,6,4.5,0.645,,151.9
B,6,Recovery,33,6,6,4,0.608,,176.8
B,7,Recovery,33,6,6,4,0.57,,182.6
B,8,Recovery,33,6,6,2.5,0.653,,245.3
C,1,Stress,34,6,6,NA,0.605,,136
C,2,Stress,34,6,6,NA,0.594,,111.9
C,3,Stress,34,6,6,NA,0.58,,93.6
C,4,Stress,34,5.5,5,NA,0.629,,156.4
C,5,Stress,34,6,6,NA,0.609,,95.1
C,6,Stress,34,6,6,NA,0.621,,74.9
C,7,Stress,34,5.5,5.5,NA,0.632,,100.5
C,8,Stress,34,6,6,NA,0.597,,112.1
C,1,Recovery,34,6,6,1.5,0.587,,246.2
C,2,Recovery,34,6,6,2.5,0.629,,241.6
C,3,Recovery,34,6,6,4,0.611,,205.9
C,4,Recovery,34,5,5,3,0.568,,222.4
C,5,Recovery,34,6,6,4,0.623,,199.2
C,6,Recovery,34,6,5.5,3,0.646,,233.9
C,7,Recovery,34,6,6,4,0.627,,214.3
C,8,Recovery,34,6,6,4.5,0.625,,201.5
D,1,Stress,35,6,5.5,NA,0.609,,84.4
D,2,Stress,35,5.5,4.5,NA,0.591,,134.7
D,3,Stress,35,6,6,NA,0.598,,107.6
D,4,Stress,35,6,6,NA,0.554,,125.2
D,5,Stress,35,6,6,NA,0.657,,79.2
D,6,Stress,35,6,6,NA,0.614,,92.2
D,7,Stress,35,6,5.5,NA,0.617,,105.2
D,8,Stress,35,6,6,NA,0.619,,116.4
D,1,Recovery,35,5.5,4.5,1,0.547,,247.1
D,2,Recovery,35,6,5.5,1.5,0.625,,238.4
D,3,Recovery,35,5.5,5.5,2,0.575,,241.1
D,4,Recovery,35,6,6,2,0.614,,223.5
D,5,Recovery,35,6,6,4,0.616,,170
D,6,Recovery,35,6,6,2.5,0.651,,227.3
D,7,Recovery,35,6,6,2,0.611,,250.5
D,8,Recovery,35,6,6,3,0.617,,220.5
E,1,Stress,28,6,6,NA,NA,,114.1
E,2,Stress,28,6,5.5,NA,NA,,90
E,3,Stress,28,6,6,NA,NA,,49.9
E,4,Stress,28,6,6,NA,NA,,119.2
E,5,Stress,28,6,6,NA,NA,,73
E,6,Stress,28,5.5,6,NA,NA,,105.6
E,7,Stress,28,6,6,NA,NA,,64.8
E,8,Stress,28,6,6,NA,NA,,67
E,1,Recovery,28,5.5,5.5,5,0.656,,162.1
