"","Tank","Colony","Time.point","Ramp","Coral.Watch.Color1","Coral.Watch.Color2","Coral.Watch.Color3","PAM..Fv.Fm.","Site","LBSP","pop2016","DIN","AverageRed"
"1","A",1,"Recovery","28","5","4.5","4","0.624","Faga'tele","Low","0","0.3",156.9
"2","A",1,"Recovery","28","5.5","5","4.5","0.668","Coconut Point","High","6707","48.8",161.5
"3","A",1,"Recovery","28","5.5","5.5","4.5","0.615","Vatia","Low","640","4.1",162.2
"4","A",1,"Recovery","28","6","6","5","0.626","Cannery","High","9276","5.4",94.8
"5","A",1,"Recovery","28","6","6","5.5","0.61","Faga'alu","Medium","910","6.7",134.8
"6","A",1,"Stress","28","5","5.5",NA,"0.61","Vatia","Low","640","4.1",111
"7","A",1,"Stress","28","5.5","5.5",NA,"0.627","Cannery","High","9276","5.4",120
"8","A",1,"Stress","28","6","6",NA,"0.65","Faga'alu","Medium","910","6.7",135.8
"9","A",1,"Stress","28","6","6",NA,"0.605","Faga'tele","Low","0","0.3",68.3
"10","A",1,"Stress","28","4.5","5.5",NA,"0.667","Coconut Point","High","6707","48.8",NA
"11","A",2,"Recovery","28","5.5","5","5.5","0.624","Faga'alu","Medium","910","6.7",134.2
"12","A",2,"Recovery","28","5.5","5.5","5","0.638","Vatia","Low","640","4.1",152.5
"13","A",2,"Recovery","28","6","6","5.5","0.652","Faga'tele","Low","0","0.3",148.6
"14","A",2,"Recovery","28","6","6","5.5","0.671","Cannery","High","9276","5.4",126.9
"15","A",2,"Recovery","28","6",NA,NA,NA,"Coconut Point","High","6707","48.8",NA
"16","A",2,"Stress","28","5","5",NA,"0.598","Faga'alu","Medium","910","6.7",164.6
"17","A",2,"Stress","28","6","5.5",NA,"0.647","Coconut Point","High","6707","48.8",NA
"18","A",2,"Stress","28","6","6",NA,"0.645","Vatia","Low","640","4.1",44.2
"19","A",2,"Stress","28","6","6",NA,"0.672","Cannery","High","9276","5.4",129.7
"20","A",2,"Stress","28","6","6",NA,"0.612","Faga'tele","Low","0","0.3",84.8
"21","A",3,"Recovery","28","5.5","5","5","0.647","Coconut Point","High","6707","48.8",168.5
"22","A",3,"Recovery","28","6","5.5","5","0.647","Vatia","Low","640","4.1",141
"23","A",3,"Recovery","28","6","6","5","0.587","Faga'alu","Medium","910","6.7",146.7
"24","A",3,"Recovery","28","6","6","5","0.604","Faga'tele","Low","0","0.3",205.7
"25","A",3,"Recovery","28","6","6","6","0.636","Cannery","High","9276","5.4",84.5
"26","A",3,"Stress","28","5.5","5",NA,"0.628","Faga'tele","Low","0","0.3",120.8
"27","A",3,"Stress","28","5.5","5.5",NA,"0.653","Cannery","High","9276","5.4",118.3
"28","A",3,"Stress","28","6","5",NA,"0.677","Coconut Point","High","6707","48.8",NA
"29","A",3,"Stress","28","6","5.5",NA,"0.61","Vatia","Low","640","4.1",92.1
"30","A",3,"Stress","28","6","5.5",NA,"0.62","Faga'alu","Medium","910","6.7",137.7
"31","A",4,"Recovery","28","5","5","4","0.622","Vatia","Low","640","4.1",239.3
"32","A",4,"Recovery","28","5.5","5.5","5","0.606","Faga'alu","Medium","910","6.7",151.8
"33","A",4,"Recovery","28","6","5.5","5","0.646","Coconut Point","High","6707","48.8",153.6
"34","A",4,"Recovery","28","6","5.5","5","0.603","Faga'tele","Low","0","0.3",169.1
"35","A",4,"Recovery","28","6","6","6","0.677","Cannery","High","9276","5.4",133.4
"36","A",4,"Stress","28","5","5",NA,"0.653","Coconut Point","High","6707","48.8",NA
"37","A",4,"Stress","28","5","5",NA,"0.658","Faga'alu","Medium","910","6.7",153.6
"38","A",4,"Stress","28","6","5",NA,"0.636","Faga'tele","Low","0","0.3",152.5
"39","A",4,"Stress","28","6","5.5",NA,"0.527","Vatia","Low","640","4.1",100.2
"40","A",4,"Stress","28","6","6",NA,"0.67","Cannery","High","9276","5.4",96.5
"41","A",5,"Recovery","28","5","5","4.5","0.629","Coconut Point","High","6707","48.8",171.4
"42","A",5,"Recovery","28","5.5","5.5","4.5","0.649","Cannery","High","9276","5.4",115.9
"43","A",5,"Recovery","28","5.5","5.5","5.5","0.62","Faga'alu","Medium","910","6.7",136.1
"44","A",5,"Recovery","28","6","6","5.5","0.65","Vatia","Low","640","4.1",122.8
"45","A",5,"Recovery","28","6","6","5.5","0.587","Faga'tele","Low","0","0.3",169
"46","A",5,"Stress","28","5","5",NA,"0.636","Coconut Point","High","6707","48.8",NA
"47","A",5,"Stress","28","6","5.5",NA,"0.61","Faga'alu","Medium","910","6.7",157.7
"48","A",5,"Stress","28","6","6",NA,"0.644","Vatia","Low","640","4.1",83.6
"49","A",5,"Stress","28","6","6",NA,"0.653","Cannery","High","9276","5.4",97.8
"50","A",5,"Stress","28","6","6",NA,"0.593","Faga'tele","Low","0","0.3",83.8
"51","A",6,"Recovery","28","5.5","6","4.5","0.65","Faga'tele","Low","0","0.3",165.6
"52","A",6,"Recovery","28","6","5.5","5","0.639","Cannery","High","9276","5.4",140.3
"53","A",6,"Recovery","28","6","6","5","0.619","Faga'alu","Medium","910","6.7",153
