Tank,Colony,Time point,Ramp,Coral Watch Color1,Coral Watch Color2,Coral Watch Color3,PAM (Fv/Fm),RNAlater?,avg red
,,,,time: 12:00,time: 18:06,time: 20:38,time:,time:,
FieldCont,1,NA,Field,5,NA,NA,0.636,,123.7
FieldCont,2,NA,Field,6,NA,NA,0.664,,89.1
FieldCont,3,NA,Field,5.5,NA,NA,0.62,,145.8
FieldCont,4,NA,Field,5,NA,NA,0.645,,107.2
FieldCont,5,NA,Field,5,NA,NA,0.611,,98.7
FieldCont,6,NA,Field,6,NA,NA,0.656,,97
FieldCont,7,NA,Field,5.5,NA,NA,0.628,,130.6
FieldCont,8,NA,Field,5.5,NA,NA,0.665,,95.1
A,1,Stress,28,5,5.5,NA,0.61,,111
A,2,Stress,28,6,6,NA,0.645,,44.2
A,3,Stress,28,6,5.5,NA,0.61,,92.1
A,4,Stress,28,6,5.5,NA,0.527,,100.2
A,5,Stress,28,6,6,NA,0.644,,83.6
A,6,Stress,28,6,6,NA,0.672,,86
A,7,Stress,28,6,6,NA,0.626,,113.5
A,8,Stress,28,5,5,NA,0.631,,101.5
A,1,Recovery,28,5.5,5.5,4.5,0.615,,162.2
A,2,Recovery,28,5.5,5.5,5,0.638,,152.5
A,3,Recovery,28,6,5.5,5,0.647,,141
A,4,Recovery,28,5,5,4,0.622,,239.3
A,5,Recovery,28,6,6,5.5,0.65,,122.8
A,6,Recovery,28,6,6,5.5,0.676,,114.5
A,7,Recovery,28,5,4.5,3.5,0.611,,175.5
A,8,Recovery,28,5.5,5,5,0.639,,155.9
B,1,Stress,33,5,5,NA,0.62,,88.3
B,2,Stress,33,6,6,NA,0.617,,75.3
B,3,Stress,33,5,5,NA,0.634,,153.2
B,4,Stress,33,5.5,5,NA,0.605,,126.6
B,5,Stress,33,6,6,NA,0.658,,76.2
B,6,Stress,33,6,6,NA,0.664,,60.2
B,7,Stress,33,5.5,5,NA,0.65,,112.1
B,8,Stress,33,6,6,NA,0.575,,78.4
B,1,Recovery,33,5.5,5.5,2.5,0.609,,183.2
